ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
CARS,Cars.com Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CARS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CART,Maplebear Inc. - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CART,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CASH,"Pathward Financial, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CASH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CASS,"Cass Information Systems, Inc - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CASS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAST,"FreeCast, Inc. - Class A common stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAST,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CASY,"Caseys General Stores, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CASY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAT,"Caterpillar, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CAT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CATO,Cato Corporation (The) Class A Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CATO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CATX,"Perspective Therapeutics, Inc. Common Stock",A,,,common_equity,eligible,True,N,N,,nasdaqtrader:A:CATX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CATY,Cathay General Bancorp - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CATY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAVA,"CAVA Group, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CAVA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CB,Chubb Limited  Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBAN,"Colony Bankcorp, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CBAN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBC,"Central Bancompany, Inc. - Class A Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBFV,"CB Financial Services, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBFV,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBIO,"Crescent Biopharma, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBIO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBK,"Commercial Bancgroup, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBL,"CBL & Associates Properties, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CBL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBLL,"CeriBell, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBLL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
